from,to
8110,8110.1
8111,8111.2
8112,8112.1
8113,8113.1
8120,8120.1
8121,8121.2
8122,8121.2
8123,8121.2
8124,8121.2
8130,8181.1
8131,8181.1
8139,8181.1
8140,8170.1
8141,8172.1
8142,8171.2
8143,8171.2
8150,8131.1
8151,8131.1
8152,8131.2
8153,8131.2
8154,8131.2
8155,8131.2
8159,8131.2
8160,8180.2
8161,3131.1
8162,8182.1
8163,3132.1
8170,3130.1
8171,3139.2
8172,3139.2
8200,8100.1
8210,8120.1
8211,7223.2
8212,8114.1
8220,8130.1
8221,8131.2
8222,8131.2
8223,8122.2
8224,8132.2
8229,8131.2
8230,8140.1
8231,8141.2
8232,8142.2
8240,7523.2
8250,7323.1
8251,7322.2
8252,7323.2
8253,8143.2
8260,8150.1
8261,8151.2
8262,8152.2
8263,8153.2
8264,8154.3
8265,8155.2
8266,8156.2
8269,8159.2
8270,8160.1
8271,8160.2
8272,8160.2
8273,8160.2
8274,8160.2
8275,8160.2
8276,8160.2
8277,8160.2
8278,8160.2
8279,8160.2
8280,8210.1
8281,8211.2
8282,8212.2
8283,8212.2
8284,8219.2
8285,8219.2
8286,8219.2
8290,8189.4
8300,8300.1
8310,8310.1
8311,8311.1
8312,8312.1
8320,8330.2
8321,8321.1
8322,8322.1
8323,8331.1
8324,8332.1
8330,8340.1
8331,8341.1
8332,8342.1
8333,8343.1
8334,8344.1
8340,8350.1
9000,9000.1
9100,9620.1
9110,9520.2
9111,5212.1
9112,9520.1
9113,5244.2
9120,9510.1
9130,9110.2
9131,9111.1
9132,9112.2
9133,9121.1
9140,9120.1
9141,5153.1
9142,9120.3
9150,9621.1
9151,9621.1
9152,5414.3
9153,9623.1
9160,9610.1
9161,9610.2
9162,9613.3
9200,9200.1
9210,9210.1
9211,9210.4
9212,9215.1
9213,9216.1
9300,9300.1
9310,9310.1
9311,9311.1
9312,9312.1
9313,9313.1
9320,9320.1
9321,9329.2
9322,9329.2
9330,9330.1
9331,9331.1
9332,9332.1
9333,9333.2
